,,,,,,,,,,,
,,,,,,,,,,AS|IN,AS|IN
,,SET,1,Capacity,boost,change,Break (Prepare),Bundle,,a-m,n-z
,,1,1,Attach,phrase,over,Establish (Territory),Rational,,1-5,6-10
,,,2,Tree,spread,room,Exchange (Statement),Calendar,,11-15,16-20
,,,3,Apply,soon,spell,Instruction (Template),Arcade,,21-25,26-30
,,,4,,,,,,,,
,,,5,,,,,,,,
,,,6,,,,,,,,
,,,7,,,,,,,,
,,,8,,,,,,,,
,,,9,,,,,,,,
,,,10,,,,,,,,
,,,11,,,,,,,,
,,,12,,,,,,,,
,,,13,,,,,,,,
,,,14,,,,,,,,
,,,15,,,,,,,,
,,,16,,,,,,,,
,,,17,,,,,,,,
,,,18,,,,,,,,
,,,19,,,,,,,,
,,,20,,,,,,,,
,,,21,,,,,,,,
,,,22,,,,,,,,
,,,23,,,,,,,,
,,,24,,,,,,,,
,,,25,,,,,,,,
,,,26,,,,,,,,
,,,27,,,,,,,,
,,,28,,,,,,,,
,,,29,,,,,,,,
,,,30,,,,,,,,
,,,31,,,,,,,,
,,,32,,,,,,,,
,,,33,,,,,,,,
,,,34,,,,,,,,
,,,35,,,,,,,,
,,,36,,,,,,,,
,,,37,,,,,,,,
,,EX,37,Speech,drink,slit,Step (Visit),Certificate,,,
,,,,,,,,,,FIVE|,|HAND
,,,,,,,,Attach,,sat:,:sun
